provincia,sector,promovidos_8,promovidos_9,promovidos_10,promovidos_11,promovidos_12,promovidos_1314,nopromo_8,nopromo_9,nopromo_10,nopromo_11,nopromo_12,nopromo_1314,secundaria_egresados
Buenos Aires,Estatal,84,66,78,81,66,0,5,9,4,2,0,0,84
Buenos Aires,Estatal,212,161,168,150,154,2,105,77,77,28,32,0,203
Buenos Aires,Privado,89,65,59,53,51,0,3,11,5,8,14,0,82
Buenos Aires,Estatal,86,88,88,59,52,4,4,0,7,4,6,0,67
Buenos Aires,Estatal,417,383,306,261,239,42,83,63,59,18,19,4,358
Buenos Aires,Privado,129,119,120,94,101,0,0,4,4,5,20,0,116
Buenos Aires,Estatal,33,24,26,22,29,0,5,2,2,1,0,0,30
Buenos Aires,Estatal,139,141,89,77,83,2,13,9,17,9,24,4,124
Buenos Aires,Estatal,37,30,26,26,18,1,0,1,1,2,4,0,21
Buenos Aires,Estatal,45,30,42,29,19,2,11,10,13,10,17,1,25
Buenos Aires,Estatal,18,10,13,12,10,5,6,6,0,2,2,0,28
Buenos Aires,Estatal,69,38,55,43,40,7,15,20,10,10,17,0,45
Buenos Aires,Estatal,3254,3050,2763,2450,1705,93,1698,1133,1090,649,996,71,2555
Buenos Aires,Privado,2286,2126,1959,1823,1703,10,142,138,121,85,385,13,2228
Buenos Aires,Estatal,9,9,7,4,13,0,15,5,5,3,2,0,17
Buenos Aires,Estatal,154,122,89,66,74,22,141,93,91,27,27,1,170
Buenos Aires,Estatal,1603,1490,1421,1126,825,215,1507,966,941,493,655,65,1320
Buenos Aires,Privado,1379,1312,1178,1099,980,0,170,133,147,91,321,0,1407
Buenos Aires,Estatal,26,24,15,9,14,0,3,1,2,2,0,0,16
Buenos Aires,Estatal,286,204,210,132,123,10,52,54,59,32,28,8,167
Buenos Aires,Estatal,28,30,13,19,8,3,1,0,2,0,3,0,15
Buenos Aires,Estatal,667,519,634,521,376,35,124,71,83,35,23,0,399
Buenos Aires,Privado,281,237,242,262,189,0,12,19,14,1,33,0,262
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0,0
