Division,Estructura,Primaria_2019,Secundaria_2019,Primaria_2020,Secundaria_2020,Primaria_2021,Secundaria_2021
Total País,,2.4878267167626693,8.869346014667128,0.7018838603858596,1.8391961744719572,2.2220028920317003,5.747648010952064
Buenos Aires                                      ,6-6,3.0150638534020366,9.362919204013352,0.09307011414591825,0.08153397351687729,2.708249965233729,5.258031548544768
Conurbano                            ,6-6,3.0307015688315895,9.367773777667196,0.06923666350434211,0.079724236167795,2.7388513473337364,5.172450165507665
Resto de Bs As                                   ,6-6,2.989184203396641,9.355046435141496,0.13249850222365084,0.08444397263050213,2.658217246031295,5.396396717636425
Catamarca                                         ,6-6,1.963259009956528,7.9137363022500535,1.1185840707964603,1.0215155232613005,2.3854582836849607,6.809952108398551
Chaco                                             ,7-5,1.8121560400133783,9.24608397074976,0.0006050485248916963,0,1.2817942761458911,7.693638950849935
Chubut                                            ,6-6,1.0344380310007135,7.937538380559698,0.6263183514522148,6.149371203695782,0.6257351980133317,7.808681484929594
Ciudad de Buenos Aires                            ,7-5,1.1180219557884234,6.393513900611268,0,0,1.402313393011758,4.359142803109479
Cordoba                                           ,6-6,0.5941186169276299,6.473471035951152,0.4342908212425466,5.9921771405390025,0.5748485008607431,4.95273811354683
Corrientes                                        ,6-6,7.226112543053306,9.13600779973045,5.175120404803999,4.391780556363284,6.153134923341594,5.187777000233263
Entre Rios                                        ,6-6,3.667009044480584,11.204094445636539,3.1560412095909576,11.363924150811991,4.620974656677396,7.158961030827762
Formosa                                           ,6-6,3.1528169403438935,8.239598645107689,2.0165302963290577,4.113197789055176,1.9162849732354728,8.68284120117861
Jujuy                                             ,7-5,0.3888410168031021,9.631821664087967,0.385440801204369,7.44338571958916,0.3984779621604481,5.616600140527126
La Pampa                                          ,6-6,0.6037646501716586,11.562760758135655,0,0.3565270756012741,0.15463165572574764,8.925714285714285
La Rioja                                          ,7-5,1.4914130762277793,2.9779860086002183,0.7990126023125894,1.6772233712512927,1.3335347301642102,2.190127046330826
Mendoza                                           ,7-5,3.436599917706762,8.30385987475694,0.014005067287982379,0.18507716349442968,3.729323434279106,5.366549383422024
Misiones                                          ,7-5,4.288016607937939,10.348686777419553,3.8935460242532756,7.337860957022137,4.834059063993988,5.78621366368208
Neuquén                                           ,7-5,0.6531507371783412,13.42720191731576,0.03316356745232737,0.25821457434017303,0.7745798050155499,9.845653939886272
Rio Negro                                         ,7-5,1.2167534960241293,7.452812808789294,0.8551052827255214,4.200973517036548,0.7341834014572597,8.713679557297969
Salta                                             ,7-5,2.3570413661832124,10.440896936112633,1.7195593300554781,2.406101361325242,1.6039552432995055,7.856419346670044
San Juan                                          ,6-6,3.1668547044827475,8.656009316359208,0.2286399254145486,0.6036504009223156,3.1994351342107876,4.221635883905013
San Luis                                          ,6-6,3.3792962280652783,7.0679387582682525,2.038058991436727,4.752091662201707,3.479331845123547,5.962565252773863
Santa Cruz                                        ,7-5,0.9313427247624841,0.364938373614267,0.06326296304974344,0.020168067226890758,0.04915040022468754,0
Santa Fe                                          ,7-5,1.0499102674583158,11.269182177704435,0.052774446717403285,0.3927104936574965,0.7157106719042429,7.5779806542767085
Santiago Del Estero                               ,7-5,5.072814153251038,9.253031298723053,2.810514833272731,3.311483560335466,2.5621221589512784,9.391435011269722
Tierra Del Fuego                                  ,6-6,0.9275593239628976,5.951328737257675,0.039639843705759105,0.005794078451822238,0.11292417141889222,3.1143033499803603
Tucumán                                           ,6-6,1.0232796111537479,6.734277247283503,0.0005837882016404448,0.015021576446168134,0.5394666986350636,3.585160552842149
Tasa de Repitencia: Porcentaje de alumnos que se matriculan como alumnos repitientes en el año lectivo siguiente.   ,,,,,,,
"Fuente: Relevamientos Anuales 2019 y 2020, DIE, ME.",,,,,,,
Ley N° 26.206 (14/12/2006),,,,,,,
Estructura Educativa:,1° Año,2° Año,10° Año,2° Año,10° Año,2° Año,10° Año
Educación Primaria de 6 años y Educación Secundaria de 6 años,1° Primaria,2° Primaria,4° Secundaria,2° Primaria,4° Secundaria,2° Primaria,4° Secundaria
Educación Primaria de 7 años y Educación Secundaria de 5 años,1° Primaria,2° Primaria,3° Secundaria,2° Primaria,3° Secundaria,2° Primaria,3° Secundaria
Realizado: 03/03/2022,,,,,,,
"Fuente: Relevamientos Anuales 2020 y 2021, DIE, ME.",,,,,,,
Realizado:  04/11/2022,,,,,,,
Fuente: Relevamientos Anuales 2021 y 2022. Red-FIE. DIE.,,,,,,,
Realización:30/06/2023,,,,,,,
