Division,Estructura,Primaria_2019,Secundaria_2019,Primaria_2020,Secundaria_2020,Primaria_2021,Secundaria_2021
Total País,,8.021375213510016,29.899135995128077,7.324113424961593,28.132632621572757,6.140088504084567,25.610275152089397
Buenos Aires                                      ,6-6,6.789414113286185,28.506248403727607,,,,
Conurbano                            ,6-6,6.8191444303261335,28.695348249365203,,,,
Resto de Bs As                                   ,6-6,6.739674284763601,28.20173506359499,,,,
Catamarca                                         ,6-6,6.400486231240357,30.603518773803128,,,,
Chaco                                             ,7-5,10.933746845449846,33.19051247291186,,,,
Chubut                                            ,6-6,4.878721058434399,30.73792062879399,,,,
Ciudad de Buenos Aires                            ,7-5,5.168102153579636,24.12593672472442,,,,
Cordoba                                           ,6-6,2.850986890825814,23.121374905166295,,,,
Corrientes                                        ,6-6,22.705534393224,41.48863973083283,,,,
Entre Rios                                        ,6-6,10.662929042198066,34.382376081825335,,,,
Formosa                                           ,6-6,11.27881904130038,35.36300888349204,,,,
Jujuy                                             ,7-5,2.242567858681603,34.64993990384615,,,,
La Pampa                                          ,6-6,3.6433053154966264,29.854571462629636,,,,
La Rioja                                          ,7-5,9.686652606206689,27.555997689493616,,,,
Mendoza                                           ,7-5,7.175370319572075,27.415675286696366,,,,
Misiones                                          ,7-5,18.298232675025268,36.442696675359876,,,,
Neuquén                                           ,7-5,6.333655141178293,34.71539844218094,,,,
Rio Negro                                         ,7-5,2.738552234713463,30.271818318846407,,,,
Salta                                             ,7-5,11.20988713439318,39.576822706917106,,,,
San Juan                                          ,6-6,17.290914980842484,40.130708578081176,,,,
San Luis                                          ,6-6,11.900774155128778,28.3973526319045,,,,
Santa Cruz                                        ,7-5,4.654373566715027,39.54417131446671,,,,
Santa Fe                                          ,7-5,8.101754857547943,31.541192070433787,,,,
Santiago Del Estero                               ,7-5,15.387802272083034,37.93282660949782,,,,
Tierra Del Fuego                                  ,6-6,5.161327035793547,23.91727063814743,,,,
Tucumán                                           ,6-6,2.766924812204935,23.77346065195917,,,,
Tasa de Sobreedad: Porcentaje de alumnos con edad mayor a la edad teórica correspondiente al año de estudio en el cual están matriculados.   ,,,,,,,
"Fuente: Relevamiento Anual 2019, DIE, ME.",,,,,,,
Ley N° 26.206 (14/12/2006),,,,,,,
Estructura Educativa:,1° Año,2° Año,10° Año,,,,
Educación Primaria de 6 años y Educación Secundaria de 6 años,1° Primaria,2° Primaria,4° Secundaria,,,,
Educación Primaria de 7 años y Educación Secundaria de 5 años,1° Primaria,2° Primaria,3° Secundaria,,,,
Realizado: 08/10/2020,,,,,,,
Buenos Aires                                      ,6-6 años,,,5.865860117573443,26.08482524775042,4.562862670351772,23.292674023835684
Conurbano                            ,6-6 años,,,5.9042078017271,26.088991832751653,4.630111455565397,23.443638325235224
Resto de Bs As                                   ,6-6 años,,,5.80214909069321,26.078170940753104,4.453228763832671,23.049072218271156
Catamarca                                         ,6-6 años,,,6.440896706658382,29.705411068655245,5.224089635854342,28.339993778267008
Chaco                                             ,7-5 años,,,10.614366272175028,33.32505093673905,10.21367168614318,31.704000848577184
Chubut                                            ,6-6 años,,,2.9797455206439887,27.073308560371252,2.6695856750751537,27.551173364867342
Ciudad de Buenos Aires                            ,7-5 años,,,4.336530636376915,23.266433645281317,3.9729253540571365,20.89193466511392
Cordoba                                           ,6-6 años,,,2.5764198237700913,22.42684233789667,2.212346310763044,21.363378248885
Corrientes                                        ,6-6 años,,,21.630721074932243,39.86725792522584,18.89896854087564,38.83648238861675
Entre Rios                                        ,6-6 años,,,9.20896613912142,33.31460318465289,7.860927990104438,35.37442657857244
Formosa                                           ,6-6 años,,,12.260891198584698,34.004589973171285,11.109425636075294,34.69845150774246
Jujuy                                             ,7-5 años,,,1.8492616833406292,31.78897164712987,1.5368354296585984,31.364303032117096
La Pampa                                          ,6-6 años,,,3.3712823228311715,32.40597328969287,2.0831509846827134,23.82857142857143
La Rioja                                          ,7-5 años,,,10.93066562730068,28.0991468459152,7.579319716152967,30.096074837241645
Mendoza                                           ,7-5 años,,,6.925868545597318,25.136533071343948,5.399385947251862,21.05178178588968
Misiones                                          ,7-5 años,,,16.998996229076802,35.11826885136959,16.27820249860153,34.90962093140224
Neuquén                                           ,7-5 años,,,5.284851356153026,32.81099087379024,4.851315620886865,28.34551854860547
Rio Negro                                         ,7-5 años,,,2.8954157794526876,27.14384737259044,2.6246223564954683,20.878322761826368
Salta                                             ,7-5 años,,,9.486498567033893,39.72691487616861,7.549271146129867,35.21381995441884
San Juan                                          ,6-6 años,,,20.118093631379164,42.75584464052462,18.013375121391366,38.7840984075997
San Luis                                          ,6-6 años,,,10.544243577545195,25.726414705518692,9.219326568265682,23.950754346662436
Santa Cruz                                        ,7-5 años,,,3.7325148199348623,35.267226890756305,2.5230538782006273,29.62795941375423
Santa Fe                                          ,7-5 años,,,7.2953615636542475,29.500436446652788,5.832801925410899,26.001881026993907
Santiago Del Estero                               ,7-5 años,,,14.224206665603573,36.1481540105259,11.420337233310391,29.619098002909666
Tierra Del Fuego                                  ,6-6 años,,,4.03760122317232,22.614288197462194,3.161876799728982,17.232478536557995
Tucumán                                           ,6-6 años,,,3.042120318748358,21.98885672147266,2.4187517482717085,19.1182583393952
"Fuente: Relevamiento Anual 2020, DIE, ME. ",,,,,,,
Realizado: 17/03/22,,,,,,,
"Fuente: Relevamiento Anual 2021, DIE, ME. ",,,,,,,
Realizado: 04/08/2022,,,,,,,
