provincia,sector,r_8,r_9,r_10,r_11,r_12,r_1314,_sec8,_sec9,_sec10,_sec11,_sec12,_sec1314
Buenos Aires,Estatal,0,0,0,3,1,0,6,6,8,8,7,0
Buenos Aires,Estatal,0,0,0,0,0,0,16,15,17,17,15,2
Buenos Aires,Privado,1,1,1,0,1,0,4,4,4,4,4,0
Buenos Aires,Estatal,0,2,0,0,0,0,7,7,7,5,5,1
Buenos Aires,Estatal,0,1,2,0,1,0,27,24,25,22,21,4
Buenos Aires,Privado,2,0,1,2,1,0,5,5,5,5,6,0
Buenos Aires,Estatal,0,0,0,0,0,0,3,4,3,3,3,0
Buenos Aires,Estatal,2,0,0,1,0,0,9,9,10,9,9,2
Buenos Aires,Estatal,0,0,1,2,1,0,2,2,4,4,4,1
Buenos Aires,Estatal,0,0,0,0,0,0,4,4,5,5,4,1
Buenos Aires,Estatal,0,0,0,0,0,0,2,2,2,2,2,1
Buenos Aires,Estatal,0,0,0,0,0,0,5,5,6,6,6,1
Buenos Aires,Estatal,1,2,0,2,0,0,246,223,235,215,195,8
Buenos Aires,Privado,1,3,2,3,5,0,105,101,99,99,97,2
Buenos Aires,Estatal,0,0,0,0,0,0,1,1,1,1,1,0
Buenos Aires,Estatal,0,0,0,0,0,0,22,20,17,14,13,3
Buenos Aires,Estatal,3,0,0,1,0,0,166,154,151,134,125,19
Buenos Aires,Privado,2,1,3,2,3,0,67,67,65,66,65,0
Buenos Aires,Estatal,0,0,0,0,0,0,2,2,2,2,2,0
Buenos Aires,Estatal,0,0,0,1,2,0,16,16,16,14,12,2
Buenos Aires,Estatal,0,0,0,0,0,0,2,2,1,1,1,1
Buenos Aires,Estatal,0,0,0,0,0,0,36,30,36,37,36,5
Buenos Aires,Privado,1,1,3,1,1,0,13,12,12,12,12,0
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,0,0,0,0,0,0,154,143,152,145,133,16
Buenos Aires,Privado,0,0,2,0,0,0,45,43,44,45,44,2
Buenos Aires,Estatal,0,1,0,0,0,0,4,4,3,3,3,0
Buenos Aires,Estatal,0,0,0,0,0,0,28,28,27,29,26,4
Buenos Aires,Privado,0,0,0,0,0,0,1,1,1,1,1,0
Buenos Aires,Estatal,0,0,0,0,0,0,4,3,5,5,5,1
Buenos Aires,Estatal,0,0,0,0,0,0,19,19,18,18,16,4
Buenos Aires,Privado,0,0,0,1,0,0,5,5,4,4,4,0
Buenos Aires,Estatal,0,1,0,0,0,0,1,1,1,1,1,0
Buenos Aires,Estatal,1,0,0,0,0,0,14,13,12,12,11,3
Buenos Aires,Estatal,0,0,0,3,0,0,168,166,167,160,149,21
Buenos Aires,Privado,2,1,2,1,2,0,70,71,69,70,66,2
Buenos Aires,Estatal,0,0,0,0,0,0,58,50,56,51,44,7
Buenos Aires,Privado,0,2,1,1,1,0,11,10,11,11,11,0
Buenos Aires,Estatal,0,0,0,0,0,0,3,3,3,4,3,0
Buenos Aires,Estatal,0,0,0,0,3,0,17,18,17,16,16,4
Buenos Aires,Privado,1,0,1,0,0,0,3,3,3,3,3,0
Buenos Aires,Estatal,0,0,0,0,0,0,2,3,3,3,3,0
Buenos Aires,Estatal,0,0,0,0,0,0,27,26,23,22,20,3
Buenos Aires,Privado,0,0,0,0,0,0,6,6,6,5,6,0
Buenos Aires,Estatal,0,1,0,0,0,0,5,5,8,8,8,2
Buenos Aires,Estatal,0,0,0,0,0,0,20,20,17,18,15,3
Buenos Aires,Privado,2,0,2,0,0,0,3,3,3,3,3,0
Buenos Aires,Estatal,0,0,0,0,0,0,5,5,6,4,4,2
Buenos Aires,Estatal,0,0,0,0,0,0,61,57,56,55,52,7
Buenos Aires,Privado,0,0,0,0,0,0,16,15,15,15,14,2
Buenos Aires,Estatal,1,1,1,0,0,0,5,5,5,4,4,1
Buenos Aires,Estatal,0,0,0,0,0,0,41,35,30,26,24,3
Buenos Aires,Privado,0,0,0,0,0,0,9,9,9,9,9,0
Buenos Aires,Estatal,0,0,0,0,0,0,1,1,1,1,1,0
Buenos Aires,Estatal,0,0,0,0,0,0,12,11,12,11,11,2
Buenos Aires,Estatal,0,2,2,1,0,0,3,3,3,3,3,1
Buenos Aires,Estatal,0,0,0,0,0,0,12,12,13,12,12,3
Buenos Aires,Estatal,0,0,0,0,0,0,3,3,3,3,3,0
Buenos Aires,Estatal,0,0,0,0,0,0,7,7,7,7,7,1
Buenos Aires,Estatal,0,0,0,0,0,0,1,1,1,1,1,0
Buenos Aires,Estatal,0,0,1,1,1,0,11,12,10,10,10,1
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,0,0,0,3,0,0,3,5,5,5,4,0
Buenos Aires,Estatal,0,1,0,0,0,0,2,2,1,1,1,0
Buenos Aires,Estatal,0,0,1,0,8,0,20,18,18,20,17,2
Buenos Aires,Privado,0,0,0,1,1,0,3,3,3,3,3,0
Buenos Aires,Estatal,0,0,0,0,0,0,23,25,22,18,18,5
Buenos Aires,Privado,0,0,0,2,0,0,6,6,6,6,6,0
Buenos Aires,Estatal,0,0,0,0,0,0,2,2,2,2,2,1
Buenos Aires,Estatal,0,0,0,0,0,0,37,37,34,34,32,2
Buenos Aires,Privado,0,1,1,1,1,0,7,8,8,8,8,0
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,1,0
Buenos Aires,Estatal,0,0,0,0,0,0,13,12,12,12,11,2
Buenos Aires,Privado,0,0,0,0,0,0,5,5,4,4,4,0
Buenos Aires,Estatal,0,0,0,0,0,0,4,4,4,3,3,2
Buenos Aires,Estatal,0,0,0,0,0,0,32,32,35,36,36,5
Buenos Aires,Privado,0,0,0,0,0,0,7,7,5,5,5,3
Buenos Aires,Estatal,0,0,0,0,3,0,2,3,3,3,3,1
Buenos Aires,Estatal,0,0,0,0,0,0,9,8,6,6,6,3
Buenos Aires,Privado,0,0,0,0,0,0,2,2,3,3,3,1
Buenos Aires,Estatal,0,0,0,0,0,0,1,1,1,1,1,1
Buenos Aires,Estatal,0,1,0,0,0,0,11,11,12,11,10,3
Buenos Aires,Estatal,0,0,0,0,0,0,3,2,4,4,4,0
Buenos Aires,Estatal,0,3,0,0,0,0,24,22,23,22,21,3
Buenos Aires,Privado,1,1,0,1,1,0,6,6,5,5,6,0
Buenos Aires,Estatal,0,0,0,1,1,0,3,2,3,3,4,0
Buenos Aires,Estatal,0,0,0,0,0,0,11,11,11,12,11,3
Buenos Aires,Estatal,0,0,0,0,0,0,2,2,1,1,1,1
Buenos Aires,Estatal,0,0,0,0,0,0,14,13,18,16,16,2
Buenos Aires,Estatal,0,0,0,0,0,0,5,5,4,4,4,0
Buenos Aires,Estatal,0,0,0,0,0,0,9,9,11,9,10,0
Buenos Aires,Privado,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Privado,1,2,6,5,3,2,36,36,37,37,36,10
Buenos Aires,Privado,3,2,7,3,2,0,68,67,67,61,60,2
Buenos Aires,Estatal,0,0,0,0,0,0,40,34,34,31,26,6
Buenos Aires,Privado,0,0,0,0,0,0,6,6,7,7,7,2
Buenos Aires,Estatal,0,0,0,0,0,0,133,114,108,103,94,21
Buenos Aires,Privado,0,1,1,0,6,0,60,57,55,50,47,0
Buenos Aires,Estatal,0,0,0,0,0,0,153,146,144,137,128,2
Buenos Aires,Privado,4,1,2,1,1,0,51,48,45,45,44,1
Buenos Aires,Estatal,0,0,0,0,0,0,5,5,5,5,5,1
Buenos Aires,Estatal,0,0,0,0,0,0,11,11,9,9,8,2
Buenos Aires,Privado,0,0,0,0,0,0,7,6,5,5,6,0
Buenos Aires,Estatal,0,0,2,0,0,0,90,87,77,72,64,4
Buenos Aires,Privado,1,2,1,0,0,0,31,31,27,25,23,2
Buenos Aires,Estatal,0,0,0,0,0,0,5,5,3,3,3,1
Buenos Aires,Estatal,0,0,0,2,2,0,220,212,208,189,167,15
Buenos Aires,Privado,1,2,0,1,1,0,65,64,60,58,57,2
Buenos Aires,Estatal,0,0,0,0,0,0,2,2,2,2,2,1
Buenos Aires,Estatal,1,1,3,1,1,0,4,6,5,5,5,0
Buenos Aires,Estatal,0,0,0,0,0,0,2,2,3,1,1,1
Buenos Aires,Estatal,0,0,1,0,1,0,17,16,15,15,14,5
Buenos Aires,Privado,0,0,0,0,0,0,11,11,10,10,10,0
Buenos Aires,Estatal,0,0,0,0,0,0,2,2,1,1,2,1
Buenos Aires,Estatal,0,0,0,0,0,0,5,7,6,5,5,0
Buenos Aires,Estatal,1,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,0,0,0,0,0,0,7,7,7,7,8,0
Buenos Aires,Privado,0,2,0,0,1,0,3,3,3,3,3,0
Buenos Aires,Estatal,0,0,0,0,0,0,2,2,2,2,2,1
Buenos Aires,Estatal,0,0,0,0,0,0,10,10,9,8,8,1
Buenos Aires,Estatal,0,0,0,0,0,0,3,3,3,3,3,1
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,0,0,0,0,0,0,16,18,16,15,15,3
Buenos Aires,Privado,0,0,0,1,0,0,3,3,4,4,4,0
Buenos Aires,Estatal,0,1,0,0,2,0,2,2,4,3,3,1
Buenos Aires,Estatal,0,0,0,0,0,0,8,9,10,9,7,2
Buenos Aires,Estatal,0,0,0,0,0,0,2,2,1,1,1,0
Buenos Aires,Estatal,0,0,0,0,0,0,9,8,9,7,7,2
Buenos Aires,Estatal,0,0,0,0,0,0,5,6,5,5,5,0
Buenos Aires,Estatal,0,0,0,0,0,0,2,3,2,2,2,0
