Provincia                 | Sector                    | 1_P  | 2_P  | 3_P  | 4_P  | 5_P  | 6_P  | 1_NP | 2_NP | 3_NP | 4_NP | 5_NP | 6_NP | Egresados | Anio
Buenos Aires              | Estatal                   | 73   | 66   | 67   | 42   | 51   | 0    | 20   | 17   | 13   | 9    | 19   | 0    | 73        | 2019

Buenos Aires             | Estatal                   | 193  | 166  | 148  | 179  | 121  | 7    | 91   | 74   | 40   | 16   | 52   | 0    | 164       | 2019

Buenos Aires             | Privado                   | 75   | 56   | 63   | 60   | 53   | 0    | 7    | 7    | 5    | 5    | 26   | 0    | 69        | 2019

Buenos Aires             | Estatal                   | 93   | 89   | 56   | 53   | 51   | 2    | 5    | 2    | 7    | 1    | 15   | 0    | 66        | 2019

Buenos Aires             | Estatal                   | 334  | 266  | 262  | 247  | 203  | 31   | 128  | 94   | 80   | 36   | 37   | 1    | 306       | 2019

Buenos Aires             | Privado                   | 110  | 112  | 85   | 90   | 85   | 0    | 2    | 1    | 1    | 4    | 5    | 0    | 114       | 2019

Buenos Aires             | Estatal                   | 27   | 27   | 22   | 20   | 29   | 0    | 5    | 3    | 4    | 2    | 3    | 0    | 35        | 2019

Buenos Aires             | Estatal                   | 121  | 105  | 85   | 88   | 70   | 4    | 19   | 13   | 21   | 5    | 23   | 4    | 97        | 2019

Buenos Aires             | Estatal                   | 31   | 29   | 28   | 19   | 22   | 0    | 3    | 1    | 3    | 0    | 0    | 0    | 27        | 2019

Buenos Aires             | Estatal                   | 30   | 34   | 30   | 26   | 28   | 2    | 2    | 9    | 17   | 6    | 6    | 2    | 39        | 2019

Buenos Aires             | Estatal                   | 18   | 12   | 9    | 14   | 11   | 5    | 18   | 15   | 13   | 5    | 6    | 0    | 25        | 2019

Buenos Aires             | Estatal                   | 71   | 77   | 58   | 42   | 53   | 3    | 8    | 8    | 15   | 5    | 4    | 1    | 58        | 2019

Buenos Aires             | Estatal                   | 2901 | 2452 | 2520 | 2055 | 1816 | 64   | 1780 | 1137 | 1129 | 759  | 890  | 116  | 2566      | 2019

Buenos Aires             | Privado                   | 2171 | 2108 | 1841 | 1881 | 1483 | 11   | 288  | 195  | 196  | 127  | 536  | 18   | 2112      | 2019

Buenos Aires             | Estatal                   | 12   | 13   | 5    | 12   | 13   | 0    | 10   | 6    | 3    | 1    | 3    | 0    | 15        | 2019

Buenos Aires             | Estatal                   | 222  | 194  | 111  | 119  | 86   | 60   | 244  | 145  | 132  | 62   | 63   | 4    | 140       | 2019

Buenos Aires             | Estatal                   | 2014 | 1709 | 1424 | 1205 | 945  | 177  | 1418 | 892  | 885  | 501  | 649  | 53   | 1387      | 2019

Buenos Aires             | Privado                   | 1240 | 1147 | 968  | 886  | 873  | 0    | 262  | 165  | 122  | 95   | 280  | 0    | 1263      | 2019

