
--- DATOS 2019 ---
Buenos Aires | Estatal | 2019 | 1 anio | 8 | 8 | 2 anio | 7 | 5 | 3 anio | 7 | 5 | 4 anio | 7 | 4 | 5 anio | 7 | 4 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 17 | 50 | 2 anio | 13 | 39 | 3 anio | 16 | 31 | 4 anio | 14 | 19 | 5 anio | 13 | 23 | 6 anio | 1 | 0

Buenos Aires | Privado | 2019 | 1 anio | 4 | 10 | 2 anio | 4 | 14 | 3 anio | 4 | 11 | 4 anio | 4 | 7 | 5 anio | 4 | 4 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 6 | 13 | 2 anio | 5 | 7 | 3 anio | 7 | 22 | 4 anio | 6 | 8 | 5 anio | 6 | 6 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 26 | 89 | 2 anio | 24 | 77 | 3 anio | 23 | 50 | 4 anio | 19 | 39 | 5 anio | 19 | 31 | 6 anio | 4 | 0

Buenos Aires | Privado | 2019 | 1 anio | 5 | 4 | 2 anio | 5 | 0 | 3 anio | 5 | 3 | 4 anio | 5 | 6 | 5 anio | 5 | 5 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 4 | 4 | 2 anio | 3 | 1 | 3 anio | 3 | 4 | 4 anio | 3 | 1 | 5 anio | 3 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 10 | 26 | 2 anio | 8 | 20 | 3 anio | 10 | 35 | 4 anio | 9 | 36 | 5 anio | 8 | 23 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 2 | 3 | 2 anio | 1 | 0 | 3 anio | 2 | 0 | 4 anio | 2 | 1 | 5 anio | 2 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 4 | 15 | 2 anio | 4 | 20 | 3 anio | 4 | 16 | 4 anio | 4 | 11 | 5 anio | 4 | 4 | 6 anio | 1 | 2

Buenos Aires | Estatal | 2019 | 1 anio | 2 | 2 | 2 anio | 2 | 1 | 3 anio | 2 | 0 | 4 anio | 2 | 0 | 5 anio | 2 | 0 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 5 | 19 | 2 anio | 5 | 10 | 3 anio | 5 | 6 | 4 anio | 5 | 2 | 5 anio | 5 | 0 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 258 | 1179 | 2 anio | 223 | 850 | 3 anio | 231 | 676 | 4 anio | 208 | 502 | 5 anio | 189 | 291 | 6 anio | 8 | 16

Buenos Aires | Privado | 2019 | 1 anio | 111 | 138 | 2 anio | 106 | 130 | 3 anio | 104 | 137 | 4 anio | 98 | 127 | 5 anio | 97 | 116 | 6 anio | 2 | 1

Buenos Aires | Estatal | 2019 | 1 anio | 1 | 9 | 2 anio | 1 | 7 | 3 anio | 1 | 4 | 4 anio | 1 | 4 | 5 anio | 1 | 1 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 22 | 196 | 2 anio | 19 | 92 | 3 anio | 15 | 94 | 4 anio | 14 | 37 | 5 anio | 12 | 7 | 6 anio | 3 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 174 | 1107 | 2 anio | 155 | 664 | 3 anio | 156 | 664 | 4 anio | 136 | 345 | 5 anio | 120 | 91 | 6 anio | 27 | 20

Buenos Aires | Privado | 2019 | 1 anio | 66 | 103 | 2 anio | 67 | 117 | 3 anio | 62 | 121 | 4 anio | 61 | 75 | 5 anio | 60 | 82 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 2 | 2 | 2 anio | 2 | 0 | 3 anio | 2 | 1 | 4 anio | 2 | 1 | 5 anio | 2 | 0 | 6 anio | 0 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 18 | 69 | 2 anio | 15 | 22 | 3 anio | 14 | 43 | 4 anio | 9 | 8 | 5 anio | 9 | 12 | 6 anio | 2 | 1

Buenos Aires | Estatal | 2019 | 1 anio | 2 | 7 | 2 anio | 2 | 8 | 3 anio | 1 | 5 | 4 anio | 1 | 6 | 5 anio | 1 | 1 | 6 anio | 1 | 0

Buenos Aires | Estatal | 2019 | 1 anio | 39 | 82 | 2 anio | 31 | 50 | 3 anio | 38 | 43 | 4 anio | 31 | 25 | 5 anio | 29 | 10 | 6 anio | 5 | 5
