provincia,sector,r_8,r_9,r_10,r_11,r_12,r_1314,_sec8,_sec9,_sec10,_sec11,_sec12,_sec1314
Buenos Aires,Estatal,3,6,6,3,1,0,6,7,8,7,7,0
Buenos Aires,Estatal,61,46,34,17,9,0,17,13,16,16,13,1
Buenos Aires,Privado,7,13,13,11,4,0,4,4,4,4,4,0
Buenos Aires,Estatal,11,10,10,10,6,1,6,5,6,6,6,1
Buenos Aires,Estatal,28,29,34,14,0,0,27,24,23,20,19,4
Buenos Aires,Privado,0,4,2,2,3,0,5,5,5,6,6,0
Buenos Aires,Estatal,4,2,2,1,0,0,4,3,3,3,3,0
Buenos Aires,Estatal,24,8,10,8,6,1,10,8,10,9,9,1
Buenos Aires,Estatal,3,7,5,8,5,0,3,4,4,4,4,1
Buenos Aires,Estatal,16,14,12,6,5,1,4,4,4,4,4,1
Buenos Aires,Estatal,6,2,0,0,0,0,2,2,2,2,2,1
Buenos Aires,Estatal,11,25,13,11,8,0,6,5,6,6,5,1
Buenos Aires,Estatal,929,713,651,427,273,0,260,229,236,211,196,8
Buenos Aires,Privado,73,97,110,81,57,3,106,103,101,99,95,2
Buenos Aires,Estatal,7,7,5,2,5,0,1,1,1,1,1,0
Buenos Aires,Estatal,144,89,81,26,14,3,22,19,15,14,12,3
Buenos Aires,Estatal,913,667,579,291,143,11,177,161,152,145,124,30
Buenos Aires,Privado,105,104,104,81,76,0,69,71,68,67,66,0
Buenos Aires,Estatal,1,1,2,2,0,0,2,2,2,2,2,0
Buenos Aires,Estatal,39,18,21,10,2,0,17,15,16,13,9,2
Buenos Aires,Estatal,2,4,5,2,3,0,2,2,1,1,1,1
Buenos Aires,Estatal,79,46,57,32,11,11,37,30,39,38,33,5
Buenos Aires,Privado,12,18,14,10,19,0,12,12,12,12,12,0
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,623,502,429,262,149,0,149,139,146,135,123,15
Buenos Aires,Privado,34,31,35,32,23,0,45,45,44,44,42,2
Buenos Aires,Estatal,15,18,12,14,1,0,4,4,3,3,1,0
Buenos Aires,Estatal,44,31,34,14,7,0,28,28,27,28,24,3
Buenos Aires,Privado,4,6,3,3,4,0,2,2,3,3,3,1
Buenos Aires,Privado,0,1,0,0,0,0,1,1,1,1,1,0
Buenos Aires,Estatal,8,5,9,5,5,4,4,5,5,5,5,1
Buenos Aires,Estatal,58,70,65,31,17,0,19,19,18,16,15,4
Buenos Aires,Privado,4,4,6,5,0,0,5,4,4,4,4,0
Buenos Aires,Estatal,3,0,0,0,0,0,1,1,1,1,1,0
Buenos Aires,Estatal,45,24,42,17,20,0,15,12,12,11,9,2
Buenos Aires,Estatal,679,621,525,382,193,30,163,159,159,152,141,18
Buenos Aires,Privado,101,78,94,77,63,0,75,72,73,72,68,2
Buenos Aires,Estatal,320,230,200,120,34,6,58,48,55,46,43,7
Buenos Aires,Privado,18,8,12,8,12,0,11,10,11,11,11,0
Buenos Aires,Estatal,4,5,6,2,5,0,2,2,4,2,2,0
Buenos Aires,Estatal,34,54,35,20,10,0,18,17,16,15,13,4
Buenos Aires,Privado,2,4,8,3,14,0,3,3,3,3,3,0
Buenos Aires,Estatal,2,3,6,3,1,0,2,2,3,3,3,0
Buenos Aires,Estatal,87,46,34,29,12,0,28,25,23,20,19,3
Buenos Aires,Privado,13,9,5,1,0,0,6,6,5,6,5,0
Buenos Aires,Estatal,15,16,12,6,2,0,5,5,8,8,7,2
Buenos Aires,Estatal,75,62,78,35,48,0,21,20,17,17,14,3
Buenos Aires,Privado,1,3,2,0,0,0,4,4,3,3,3,0
Buenos Aires,Estatal,23,13,10,5,3,0,5,5,6,6,6,2
Buenos Aires,Estatal,278,302,213,147,102,38,61,58,56,55,52,5
Buenos Aires,Privado,6,4,5,1,6,0,16,15,15,14,14,2
Buenos Aires,Estatal,10,9,9,2,0,0,5,5,4,3,3,1
Buenos Aires,Estatal,234,201,173,64,27,0,40,36,28,24,24,3
Buenos Aires,Privado,18,13,21,9,12,0,9,9,9,9,8,0
Buenos Aires,Estatal,2,1,0,0,0,0,1,1,1,1,1,0
Buenos Aires,Estatal,25,14,46,12,2,0,11,11,11,11,11,2
Buenos Aires,Estatal,7,2,3,0,1,0,3,3,3,3,3,1
Buenos Aires,Estatal,43,36,60,32,13,0,13,11,12,11,9,3
Buenos Aires,Estatal,7,5,3,3,4,1,3,3,3,3,3,1
Buenos Aires,Estatal,26,19,11,4,0,0,7,6,7,6,6,1
Buenos Aires,Estatal,2,2,2,3,2,0,1,1,1,1,1,0
Buenos Aires,Estatal,26,30,35,17,6,0,12,11,10,11,9,1
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,4,11,13,1,0,0,4,5,5,4,4,0
Buenos Aires,Estatal,0,2,0,1,0,0,2,2,1,1,1,0
Buenos Aires,Estatal,93,98,44,22,7,0,27,23,25,24,20,2
Buenos Aires,Privado,3,1,2,1,0,0,3,3,3,3,3,0
Buenos Aires,Estatal,88,86,48,29,14,1,21,22,18,17,15,4
Buenos Aires,Privado,3,9,7,9,0,0,6,6,6,6,6,0
Buenos Aires,Estatal,1,6,1,1,0,0,2,2,2,2,2,1
Buenos Aires,Estatal,210,151,93,60,32,0,37,37,33,31,31,2
Buenos Aires,Privado,3,1,2,0,1,0,9,9,8,8,8,0
Buenos Aires,Estatal,3,5,3,0,0,0,0,0,0,0,1,0
Buenos Aires,Estatal,28,30,28,21,11,0,13,12,12,10,9,2
Buenos Aires,Privado,6,8,5,2,0,0,5,5,4,4,4,0
Buenos Aires,Estatal,5,9,7,2,0,0,4,4,3,3,3,2
Buenos Aires,Estatal,93,78,90,45,43,0,32,32,35,35,32,5
Buenos Aires,Privado,10,14,3,5,3,7,7,7,7,7,7,3
Buenos Aires,Estatal,1,5,3,4,3,0,2,3,3,3,3,1
Buenos Aires,Estatal,29,28,25,14,7,0,9,7,6,6,6,3
Buenos Aires,Privado,0,2,2,3,3,1,2,2,3,3,3,1
Buenos Aires,Estatal,2,2,2,0,1,2,1,1,1,1,1,1
Buenos Aires,Estatal,20,20,16,8,4,0,11,11,11,11,10,3
Buenos Aires,Estatal,9,5,5,4,1,0,3,2,5,4,4,0
Buenos Aires,Estatal,56,39,39,28,24,0,25,22,22,21,20,3
Buenos Aires,Privado,8,5,4,5,3,0,6,6,6,6,6,0
Buenos Aires,Estatal,1,1,0,0,0,0,2,3,3,2,3,0
Buenos Aires,Estatal,43,28,23,15,10,3,11,11,12,11,11,3
Buenos Aires,Estatal,2,2,4,2,1,0,2,2,1,1,1,1
Buenos Aires,Estatal,39,25,52,34,17,1,14,15,16,16,15,2
Buenos Aires,Estatal,25,18,21,13,0,0,4,4,4,4,3,0
Buenos Aires,Estatal,21,28,22,11,1,0,9,10,10,10,9,0
Buenos Aires,Privado,45,46,34,25,23,1,33,32,32,31,31,8
Buenos Aires,Privado,59,101,61,60,28,0,69,70,66,63,62,2
Buenos Aires,Estatal,148,150,90,46,23,4,41,33,31,28,27,6
Buenos Aires,Privado,22,18,13,7,9,0,7,7,7,7,7,2
Buenos Aires,Estatal,786,546,514,246,140,8,133,116,111,102,91,21
Buenos Aires,Privado,102,74,80,59,69,1,67,65,57,53,48,1
Buenos Aires,Estatal,968,694,596,414,322,0,152,141,142,137,118,2
Buenos Aires,Privado,37,44,54,36,47,3,51,51,46,45,45,1
Buenos Aires,Estatal,17,18,13,9,3,0,5,5,5,5,5,1
Buenos Aires,Estatal,42,30,24,17,0,0,11,11,9,8,8,2
Buenos Aires,Privado,4,6,7,5,2,0,8,7,6,7,6,0
Buenos Aires,Estatal,369,301,368,196,69,8,88,85,72,68,63,4
Buenos Aires,Privado,14,28,20,16,9,0,31,32,25,24,23,2
Buenos Aires,Estatal,37,27,14,6,4,0,5,5,3,3,3,1
Buenos Aires,Estatal,1070,729,705,456,219,8,223,207,200,178,161,15
Buenos Aires,Privado,126,140,89,80,56,0,65,64,60,58,57,2
Buenos Aires,Estatal,7,3,3,1,1,0,2,2,2,2,1,1
Buenos Aires,Estatal,16,8,11,4,9,0,5,5,4,4,6,0
Buenos Aires,Estatal,0,0,0,0,0,0,1,1,1,1,1,1
Buenos Aires,Estatal,60,52,38,35,14,6,16,16,16,15,14,5
Buenos Aires,Privado,17,9,13,7,13,0,11,11,10,10,9,0
Buenos Aires,Estatal,1,3,2,1,0,0,2,2,1,1,2,0
Buenos Aires,Estatal,10,11,26,15,12,0,5,6,5,5,4,0
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,6,6,9,6,2,0,7,7,7,8,5,0
Buenos Aires,Privado,1,1,0,0,1,0,3,3,3,3,3,0
Buenos Aires,Estatal,2,4,0,0,0,0,2,2,2,2,2,1
Buenos Aires,Estatal,50,34,45,22,25,3,10,9,9,8,7,1
Buenos Aires,Estatal,7,6,5,8,3,0,3,3,3,3,3,1
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,60,52,32,12,4,3,17,16,16,15,15,3
Buenos Aires,Estatal,7,4,2,5,1,5,2,2,3,3,3,1
Buenos Aires,Estatal,13,13,16,10,1,0,8,9,10,8,7,2
Buenos Aires,Estatal,3,3,13,1,1,0,2,2,1,1,1,0
Buenos Aires,Estatal,56,33,41,13,4,0,9,8,9,7,7,2
Buenos Aires,Estatal,18,25,24,5,4,0,5,6,5,4,4,0
Buenos Aires,Estatal,13,6,5,1,0,0,2,2,2,2,2,0
Buenos Aires,Estatal,33,19,25,6,0,0,9,6,6,6,6,1
Buenos Aires,Estatal,8,2,4,3,0,0,3,3,3,3,3,0
Buenos Aires,Estatal,12,5,12,17,2,0,7,7,5,5,5,1
Buenos Aires,Estatal,51,37,27,17,23,0,13,11,9,9,9,0
Buenos Aires,Estatal,972,730,601,406,196,11,253,239,235,220,202,25
Buenos Aires,Privado,104,127,116,94,83,0,131,132,127,123,121,2
Buenos Aires,Estatal,4,5,1,1,0,0,4,4,2,1,1,0
Buenos Aires,Estatal,382,265,236,149,71,0,63,56,58,40,31,4
