provincia,sector,promovidos_8,promovidos_9,promovidos_10,promovidos_11,promovidos_12,promovidos_1314,nopromo_8,nopromo_9,nopromo_10,nopromo_11,nopromo_12,nopromo_1314,secundaria_egresados
Buenos Aires,Estatal,85,98,88,77,88,0,0,0,0,0,0,0,117
Buenos Aires,Estatal,264,220,255,187,162,11,0,0,0,0,33,0,192
Buenos Aires,Privado,95,94,75,61,65,0,0,0,0,0,13,0,89
Buenos Aires,Estatal,81,64,73,74,54,1,0,0,0,0,12,0,56
Buenos Aires,Estatal,347,351,322,253,223,44,0,0,0,0,36,5,299
Buenos Aires,Privado,106,113,91,106,100,0,0,0,0,0,22,0,110
Buenos Aires,Estatal,35,40,33,35,23,0,0,0,0,0,2,0,23
Buenos Aires,Estatal,143,129,132,100,72,14,0,0,0,0,41,0,85
Buenos Aires,Estatal,27,47,47,46,39,0,0,0,0,0,0,1,36
Buenos Aires,Estatal,49,39,75,51,36,3,0,0,0,0,0,1,39
Buenos Aires,Estatal,38,23,24,21,23,11,0,0,0,0,0,0,38
Buenos Aires,Estatal,56,56,44,37,60,1,0,0,0,0,0,0,66
Buenos Aires,Estatal,4365,3958,4031,3299,2244,82,0,0,0,0,895,103,2839
Buenos Aires,Privado,2562,2645,2458,2397,2025,9,0,0,0,0,162,20,2427
Buenos Aires,Estatal,16,14,12,13,9,0,0,0,0,0,3,0,9
Buenos Aires,Estatal,186,173,110,99,54,26,0,0,0,0,52,0,150
Buenos Aires,Estatal,2693,2274,2065,1759,1078,81,0,0,0,0,443,60,1530
Buenos Aires,Privado,2060,2014,1961,1798,1618,0,0,0,0,0,8,0,1618
Buenos Aires,Estatal,19,31,26,17,7,0,0,0,0,0,1,0,13
Buenos Aires,Estatal,290,277,257,188,112,13,0,0,0,0,17,3,177
Buenos Aires,Estatal,28,31,26,15,17,0,0,0,0,0,0,2,17
Buenos Aires,Estatal,776,745,813,687,499,42,0,0,0,0,78,5,507
Buenos Aires,Privado,223,208,203,202,177,0,0,0,0,0,45,0,301
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,2588,2347,2246,1909,1429,241,0,0,0,0,391,19,1810
Buenos Aires,Privado,872,880,824,827,727,29,0,0,0,0,89,26,1017
Buenos Aires,Estatal,41,30,20,19,12,0,0,0,0,0,3,0,28
Buenos Aires,Estatal,454,412,430,368,336,41,0,53,0,0,50,21,391
Buenos Aires,Privado,35,35,34,35,19,0,0,0,0,0,3,0,29
Buenos Aires,Estatal,65,29,53,50,28,0,0,0,0,0,9,0,54
Buenos Aires,Estatal,337,314,327,256,137,40,0,0,0,0,32,0,263
Buenos Aires,Privado,105,91,95,96,88,0,0,0,0,0,0,0,105
Buenos Aires,Estatal,19,14,18,16,13,0,0,0,0,0,0,0,18
Buenos Aires,Estatal,135,143,103,117,119,14,0,0,0,0,8,0,190
Buenos Aires,Estatal,4963,4629,4629,3850,2067,241,0,0,0,0,536,127,2415
Buenos Aires,Privado,1597,1456,1391,1285,1012,39,0,0,0,0,264,5,1434
Buenos Aires,Estatal,1470,1259,1212,817,569,109,0,0,0,0,10,0,648
Buenos Aires,Privado,360,331,336,292,212,0,0,0,0,0,14,0,248
Buenos Aires,Estatal,32,20,29,32,13,0,0,0,0,0,2,0,30
Buenos Aires,Estatal,199,182,171,148,112,14,0,0,0,0,66,0,178
Buenos Aires,Privado,90,84,83,74,49,0,0,0,0,0,19,0,65
Buenos Aires,Estatal,21,16,23,21,20,0,0,0,0,0,7,0,29
Buenos Aires,Estatal,497,405,425,355,315,31,0,0,0,0,6,0,342
Buenos Aires,Privado,74,84,76,81,60,0,0,0,0,0,8,0,98
Buenos Aires,Estatal,82,63,80,46,40,2,0,0,0,0,13,0,57
Buenos Aires,Estatal,294,318,260,231,153,65,0,0,0,0,97,0,192
Buenos Aires,Privado,94,90,85,90,77,0,0,0,0,0,5,0,77
Buenos Aires,Estatal,55,59,45,33,24,10,0,0,0,0,20,1,50
Buenos Aires,Estatal,1064,1070,881,848,691,74,0,0,0,0,173,0,893
Buenos Aires,Privado,404,391,373,325,321,41,0,0,0,0,12,5,362
Buenos Aires,Estatal,100,103,91,63,71,6,0,0,0,0,0,0,79
Buenos Aires,Estatal,994,991,847,632,435,52,0,0,0,0,72,0,452
Buenos Aires,Privado,250,233,238,229,184,0,0,0,0,0,0,0,187
Buenos Aires,Estatal,8,7,10,4,8,0,0,0,0,0,0,0,8
Buenos Aires,Estatal,87,64,54,43,52,4,0,0,0,0,56,5,114
Buenos Aires,Estatal,52,53,47,35,17,0,0,0,0,0,9,4,24
Buenos Aires,Estatal,224,169,211,177,137,17,0,0,0,0,11,0,141
Buenos Aires,Estatal,29,33,24,35,20,1,0,0,0,0,9,0,28
Buenos Aires,Estatal,96,63,83,61,50,1,0,0,0,0,9,0,75
Buenos Aires,Estatal,12,21,13,11,6,0,0,0,0,0,0,0,6
Buenos Aires,Estatal,322,293,267,182,162,0,0,0,0,0,0,0,155
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,50,66,64,37,63,0,0,0,0,0,0,0,84
Buenos Aires,Estatal,35,28,17,12,14,0,0,0,0,0,0,0,14
Buenos Aires,Estatal,399,380,363,302,248,30,0,0,0,0,12,13,252
Buenos Aires,Privado,91,86,85,69,65,0,0,0,0,0,5,0,55
Buenos Aires,Estatal,409,423,403,251,169,51,0,0,0,0,86,0,267
Buenos Aires,Privado,167,160,144,147,137,0,0,0,0,0,13,0,156
Buenos Aires,Estatal,42,30,23,24,18,9,0,0,0,0,2,0,27
Buenos Aires,Estatal,814,663,671,550,466,14,0,0,0,0,69,15,492
Buenos Aires,Privado,194,199,186,166,161,0,0,0,0,0,2,0,178
Buenos Aires,Estatal,11,14,14,5,5,0,0,0,0,0,0,0,7
Buenos Aires,Estatal,115,180,165,131,110,0,0,0,0,0,0,0,151
Buenos Aires,Privado,72,68,122,104,84,0,0,0,0,0,12,0,91
Buenos Aires,Estatal,71,68,57,51,34,11,0,0,0,0,0,0,41
Buenos Aires,Estatal,730,688,766,686,543,79,0,0,0,0,32,0,543
Buenos Aires,Privado,180,189,146,150,137,50,0,0,0,0,22,0,151
Buenos Aires,Estatal,32,40,34,30,19,4,0,0,0,0,3,1,20
Buenos Aires,Estatal,161,147,147,91,55,35,0,0,0,0,11,1,79
Buenos Aires,Privado,18,18,20,42,35,2,0,0,0,0,8,4,41
Buenos Aires,Estatal,18,6,9,10,6,3,0,0,0,0,0,2,3
Buenos Aires,Estatal,112,97,85,92,59,24,0,0,0,0,12,8,105
Buenos Aires,Estatal,59,42,34,45,34,0,0,0,0,0,0,0,36
Buenos Aires,Estatal,358,348,302,234,200,25,0,0,0,0,47,6,240
Buenos Aires,Privado,107,136,108,116,97,0,0,0,0,0,0,0,107
Buenos Aires,Estatal,25,29,22,21,15,0,0,0,0,0,6,0,20
Buenos Aires,Estatal,139,174,121,106,119,22,0,0,0,0,3,0,163
Buenos Aires,Estatal,50,29,24,20,8,3,0,0,0,0,0,0,3
Buenos Aires,Estatal,326,279,311,195,195,4,0,0,0,0,0,0,291
Buenos Aires,Estatal,140,121,109,79,50,0,0,0,0,0,0,0,50
Buenos Aires,Estatal,206,231,192,171,177,0,0,0,0,0,0,0,177
Buenos Aires,Privado,0,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Privado,757,712,683,651,541,91,0,0,0,0,54,3,618
Buenos Aires,Privado,1428,1439,1334,1239,910,6,0,0,0,0,172,0,1284
Buenos Aires,Estatal,811,758,798,612,344,80,0,0,0,0,73,0,368
Buenos Aires,Privado,236,215,181,152,89,23,0,0,0,0,40,4,107
Buenos Aires,Estatal,2095,1783,1510,1217,1014,408,0,0,0,0,296,0,1658
Buenos Aires,Privado,1329,1270,1111,1030,826,0,0,0,0,0,154,0,1041
Buenos Aires,Estatal,3918,3340,3259,2698,1762,0,0,0,0,0,546,28,2108
Buenos Aires,Privado,1156,1130,1071,998,918,27,0,0,0,0,162,0,1126
Buenos Aires,Estatal,126,121,96,73,49,5,0,0,0,0,17,1,57
Buenos Aires,Estatal,253,231,205,143,96,0,0,0,0,0,10,0,144
Buenos Aires,Privado,174,146,130,137,108,0,0,0,0,0,0,0,127
Buenos Aires,Estatal,2007,2070,1994,1421,978,25,0,0,0,0,133,34,1381
Buenos Aires,Privado,858,863,758,673,500,60,0,0,0,0,68,0,607
Buenos Aires,Estatal,75,82,48,42,29,16,0,0,0,0,36,0,59
Buenos Aires,Estatal,5232,4416,4110,3026,2196,270,0,0,0,0,722,25,2678
Buenos Aires,Privado,1843,1798,1636,1468,1184,20,0,0,0,0,271,13,1441
Buenos Aires,Estatal,32,21,19,16,18,2,0,0,0,0,0,0,20
Buenos Aires,Estatal,76,77,48,49,54,0,0,0,0,0,17,0,79
Buenos Aires,Estatal,27,18,9,7,7,0,0,0,0,0,0,0,7
Buenos Aires,Estatal,427,398,348,277,214,43,0,0,0,0,19,3,263
Buenos Aires,Privado,224,218,210,196,122,0,0,0,0,0,77,0,186
Buenos Aires,Estatal,33,32,31,30,14,0,0,0,0,0,0,0,4
Buenos Aires,Estatal,71,65,83,68,64,0,0,0,0,0,9,0,67
Buenos Aires,Estatal,5,6,9,6,4,0,0,0,0,0,0,0,4
Buenos Aires,Estatal,87,100,92,90,84,0,0,0,0,0,0,0,93
Buenos Aires,Privado,81,74,71,77,72,0,0,0,0,0,0,0,78
Buenos Aires,Estatal,15,21,13,17,18,5,0,0,0,0,0,0,29
Buenos Aires,Estatal,220,182,179,136,118,2,0,0,0,0,4,3,110
Buenos Aires,Estatal,53,39,52,42,31,2,0,0,0,0,9,0,19
Buenos Aires,Estatal,2,2,0,0,1,0,0,0,0,0,0,0,3
Buenos Aires,Estatal,264,288,285,227,196,28,0,0,0,0,6,0,290
Buenos Aires,Privado,45,45,37,36,27,0,0,0,0,0,0,0,82
Buenos Aires,Estatal,29,27,21,21,19,4,0,0,0,0,0,0,28
Buenos Aires,Estatal,82,78,67,52,70,3,0,0,0,0,15,2,103
Buenos Aires,Estatal,30,37,47,21,31,0,0,0,0,0,0,0,57
Buenos Aires,Estatal,25,13,26,27,17,0,0,0,0,0,34,0,67
Buenos Aires,Estatal,95,121,92,75,48,0,0,0,0,0,7,0,48
Buenos Aires,Estatal,38,25,30,14,22,0,0,0,0,0,6,0,25
Buenos Aires,Estatal,130,125,156,101,85,4,0,0,0,0,0,1,106
Buenos Aires,Estatal,49,38,50,35,36,0,0,0,0,0,10,0,41
Buenos Aires,Estatal,106,102,106,76,51,6,0,0,0,0,12,0,54
Buenos Aires,Estatal,203,173,146,114,112,0,0,0,0,0,0,0,121
Buenos Aires,Estatal,5048,4588,4426,3836,2671,340,0,0,0,0,931,54,2997
Buenos Aires,Privado,3229,3285,3211,2992,2633,28,0,0,0,0,374,7,3013
Buenos Aires,Estatal,48,39,14,4,7,0,0,0,0,0,17,0,7
Buenos Aires,Estatal,1752,1602,1659,1224,575,113,0,0,0,0,189,0,693
Buenos Aires,Privado,404,356,315,292,252,0,2,7,2,2,27,0,343
Buenos Aires,Estatal,2504,2171,2122,1668,1211,151,0,0,0,0,281,38,1773
Buenos Aires,Privado,1683,1672,1694,1638,1449,89,0,0,0,0,278,35,1919
Buenos Aires,Estatal,29,30,23,18,11,9,0,0,0,0,1,0,20
Buenos Aires,Estatal,98,103,132,130,83,3,0,0,0,0,9,3,101
Buenos Aires,Estatal,98,79,78,67,48,0,0,0,0,0,13,5,60
Buenos Aires,Estatal,227,234,161,122,147,14,0,0,0,0,23,0,176
Buenos Aires,Estatal,26,30,20,20,24,2,0,0,0,0,5,0,43
Buenos Aires,Estatal,95,130,102,117,81,0,0,0,0,0,16,0,63
Buenos Aires,Estatal,21,16,12,15,7,3,0,0,0,0,0,0,6
Buenos Aires,Estatal,106,91,89,81,64,0,0,0,0,0,0,0,60
Buenos Aires,Estatal,899,912,881,605,492,76,0,10,0,0,214,65,857
Buenos Aires,Privado,691,674,699,675,457,33,0,0,0,0,66,2,697
Buenos Aires,Estatal,1307,1202,1087,959,680,99,0,0,0,0,294,12,832
Buenos Aires,Privado,992,945,929,861,696,39,0,0,0,0,87,0,827
Buenos Aires,Estatal,3214,2976,2779,2198,1645,91,0,0,0,0,517,82,1902
Buenos Aires,Privado,1149,1124,1035,962,617,0,0,0,0,0,275,0,844
Buenos Aires,Estatal,31,29,40,34,30,0,0,0,0,0,0,0,39
Buenos Aires,Estatal,898,856,912,715,570,40,0,0,0,0,25,1,619
Buenos Aires,Privado,369,368,357,342,273,0,0,0,0,0,18,0,282
Buenos Aires,Estatal,606,692,511,465,360,78,0,0,0,0,96,11,708
Buenos Aires,Privado,162,163,152,154,250,0,0,0,0,0,95,0,456
Buenos Aires,Estatal,12971,12019,10870,9513,7402,512,4,3,0,0,1729,86,9775
Buenos Aires,Privado,6218,5944,5774,5474,4461,147,0,0,0,0,344,11,5780
Buenos Aires,Estatal,30,32,25,30,17,0,0,0,0,0,2,0,27
Buenos Aires,Estatal,6136,5271,5861,4087,3099,311,0,0,13,5,305,6,3817
Buenos Aires,Privado,4198,4119,3706,3568,2812,31,0,0,0,0,206,1,3137
Buenos Aires,Estatal,5243,4543,4343,3601,2628,181,0,0,0,0,205,51,2777
Buenos Aires,Privado,2466,2524,2447,2262,1928,29,0,0,0,0,70,0,2005
Buenos Aires,Estatal,8,1,2,9,2,0,0,0,0,0,0,0,4
Buenos Aires,Estatal,155,172,148,116,92,11,0,0,0,0,10,0,101
Buenos Aires,Estatal,42,28,29,26,7,2,0,0,0,0,0,0,10
Buenos Aires,Estatal,104,423,65,67,95,19,0,0,0,0,24,0,120
Buenos Aires,Privado,76,75,58,71,41,0,0,0,0,0,6,0,61
Buenos Aires,Estatal,10,10,16,4,4,0,0,0,0,0,0,0,9
Buenos Aires,Estatal,211,235,202,167,94,9,0,0,0,0,45,0,109
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,134,99,95,82,53,0,0,0,0,0,12,0,54
Buenos Aires,Estatal,109,115,64,70,57,7,0,0,0,0,93,5,124
Buenos Aires,Privado,131,149,124,117,91,0,0,0,0,0,8,0,172
Buenos Aires,Estatal,80,83,92,57,52,36,0,0,0,0,3,0,101
Buenos Aires,Estatal,66,74,66,52,47,0,0,0,0,0,30,0,87
Buenos Aires,Estatal,107,99,65,59,58,9,0,0,0,0,0,0,67
Buenos Aires,Estatal,450,424,406,295,253,20,0,0,0,0,0,0,251
Buenos Aires,Privado,145,116,134,129,137,0,0,0,0,0,10,0,149
Buenos Aires,Estatal,5738,5079,5220,4146,2667,249,0,0,0,0,971,196,3419
Buenos Aires,Privado,3568,3564,3631,3489,2659,67,0,0,0,0,440,39,3302
Buenos Aires,Estatal,154,143,114,122,72,0,0,0,0,0,1,0,96
Buenos Aires,Estatal,870,946,921,768,580,111,0,0,0,0,131,0,651
Buenos Aires,Privado,489,493,420,435,366,24,0,0,0,0,27,0,406
Buenos Aires,Estatal,83,62,58,48,21,0,0,0,0,0,2,3,27
Buenos Aires,Estatal,328,365,255,182,146,47,0,0,0,0,3,0,180
Buenos Aires,Estatal,15,20,16,12,9,0,0,0,0,0,0,0,13
Buenos Aires,Estatal,93,105,100,76,82,0,0,0,0,0,0,0,96
Buenos Aires,Estatal,2311,2236,1785,1588,1151,77,0,0,0,0,712,32,1494
Buenos Aires,Privado,1769,1663,1702,1433,1236,0,0,0,0,0,175,0,1617
Buenos Aires,Estatal,102,84,82,71,37,4,0,0,0,0,28,4,59
Buenos Aires,Estatal,193,147,175,149,68,15,0,0,0,0,29,0,132
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0,0
