provincia,sector,r_8,r_9,r_10,r_11,r_12,r_1314,_sec8,_sec9,_sec10,_sec11,_sec12,_sec1314
Buenos Aires,Estatal,8,5,5,4,4,0,8,7,7,7,7,0
Buenos Aires,Estatal,50,39,31,19,23,0,17,13,16,14,13,1
Buenos Aires,Privado,10,14,11,7,4,0,4,4,4,4,4,0
Buenos Aires,Estatal,13,7,22,8,6,0,6,5,7,6,6,1
Buenos Aires,Estatal,89,77,50,39,31,0,26,24,23,19,19,4
Buenos Aires,Privado,4,0,3,6,5,0,5,5,5,5,5,0
Buenos Aires,Estatal,4,1,4,1,0,0,4,3,3,3,3,0
Buenos Aires,Estatal,26,20,35,36,23,0,10,8,10,9,8,1
Buenos Aires,Estatal,3,0,0,1,0,0,2,1,2,2,2,0
Buenos Aires,Estatal,15,20,16,11,4,2,4,4,4,4,4,1
Buenos Aires,Estatal,2,1,0,0,0,0,2,2,2,2,2,1
Buenos Aires,Estatal,19,10,6,2,0,0,5,5,5,5,5,1
Buenos Aires,Estatal,1179,850,676,502,291,16,258,223,231,208,189,8
Buenos Aires,Privado,138,130,137,127,116,1,111,106,104,98,97,2
Buenos Aires,Estatal,9,7,4,4,1,0,1,1,1,1,1,0
Buenos Aires,Estatal,196,92,94,37,7,0,22,19,15,14,12,3
Buenos Aires,Estatal,1107,664,664,345,91,20,174,155,156,136,120,27
Buenos Aires,Privado,103,117,121,75,82,0,66,67,62,61,60,0
Buenos Aires,Estatal,2,0,1,1,0,0,2,2,2,2,2,0
Buenos Aires,Estatal,69,22,43,8,12,1,18,15,14,9,9,2
Buenos Aires,Estatal,7,8,5,6,1,0,2,2,1,1,1,1
Buenos Aires,Estatal,82,50,43,25,10,5,39,31,38,31,29,5
Buenos Aires,Privado,32,30,20,11,9,0,12,12,12,12,12,0
Buenos Aires,Estatal,0,0,0,0,0,0,0,0,0,0,0,0
Buenos Aires,Estatal,671,518,442,284,173,44,150,143,143,129,110,15
Buenos Aires,Privado,40,48,45,39,44,0,45,46,44,44,40,2
Buenos Aires,Estatal,13,16,9,3,3,0,4,4,2,2,3,0
Buenos Aires,Estatal,90,69,133,57,49,0,28,27,26,26,23,3
Buenos Aires,Privado,3,1,5,5,10,0,2,2,3,3,3,1
Buenos Aires,Privado,0,0,0,0,0,0,1,1,1,1,1,0
Buenos Aires,Estatal,11,9,13,5,3,0,5,5,5,5,5,1
Buenos Aires,Estatal,88,72,80,43,43,4,19,18,16,15,15,4
Buenos Aires,Privado,1,1,6,4,0,0,4,4,4,4,4,0
Buenos Aires,Estatal,2,2,2,1,0,0,1,1,1,1,1,0
Buenos Aires,Estatal,37,31,29,20,5,1,14,13,11,10,8,2
Buenos Aires,Estatal,858,645,660,475,257,9,168,162,161,155,146,21
Buenos Aires,Privado,105,101,125,75,66,0,76,75,72,72,71,2
Buenos Aires,Estatal,366,198,158,87,50,4,58,47,50,45,42,7
Buenos Aires,Privado,12,13,15,10,6,0,9,9,9,9,9,0
Buenos Aires,Estatal,3,3,1,1,5,0,2,2,3,2,2,0
Buenos Aires,Estatal,54,37,32,15,9,0,18,17,15,13,12,4
Buenos Aires,Privado,0,5,5,3,1,0,3,3,3,3,3,0
Buenos Aires,Estatal,7,2,8,2,2,0,2,3,3,3,3,0
Buenos Aires,Estatal,93,77,36,30,29,0,26,25,21,20,19,2
Buenos Aires,Privado,13,18,7,2,0,0,6,6,6,5,5,0
Buenos Aires,Estatal,8,18,3,3,1,0,4,4,7,6,6,2
